name,profile_url,overall_rating,total_reviews,industry,description,work_life_balance,salary_benefits,job_security,company_culture,skill_development,work_satisfaction,company_type,headquarters,founded,employees
Ernst & Young,https://www.ambitionbox.com/overview/ernst-and-young-overview,3.9,17823,Consulting,"EY is a global leader in assurance, tax, transaction and advisory services. The insights and quality services EY delivers help build trust and confidence in the capital markets.",3.6,3.7,3.9,3.9,4.0,3.8,MNC,"Mumbai, Maharashtra",1989,365000
PwC India,https://www.ambitionbox.com/overview/pwc-india-overview,3.9,12567,Consulting,"PricewaterhouseCoopers provides industry-focused assurance, tax and advisory services to build public trust and enhance value for its clients and their stakeholders.",3.7,3.7,3.9,3.9,4.0,3.8,MNC,"Mumbai, Maharashtra",1997,10000
Flipkart,https://www.ambitionbox.com/overview/flipkart-overview,3.9,14892,Internet,"Flipkart is India's leading e-commerce marketplace offering over 150 million products across 80+ categories including Electronics, Fashion, Mobiles, Books, Appliances and Furniture.",3.6,3.8,3.9,3.9,4.0,3.8,Startup,"Bengaluru, Karnataka",2007,33000
Myntra,https://www.ambitionbox.com/overview/myntra-overview,3.9,7234,Internet,"Myntra is India's leading fashion e-commerce company headquartered in Bengaluru, India. The company was founded in 2007 to sell personalised gift items.",3.7,3.7,3.9,4.0,4.0,3.8,Startup,"Bengaluru, Karnataka",2007,5000
Swiggy,https://www.ambitionbox.com/overview/swiggy-overview,3.8,8912,Internet,Swiggy is India's leading on-demand delivery platform with a tech-first approach to logistics and a solution-first approach to consumer demands.,3.5,3.6,3.7,3.8,3.9,3.7,Startup,"Bengaluru, Karnataka",2014,6000
Zomato,https://www.ambitionbox.com/overview/zomato-overview,3.7,9123,Internet,"Zomato is an Indian multinational restaurant aggregator and food delivery company. It provides information, menus and user reviews of restaurants as well as food delivery options.",3.4,3.5,3.6,3.7,3.7,3.5,Public,"Gurugram, Haryana",2008,5000
Paytm,https://www.ambitionbox.com/overview/paytm-overview,3.5,11234,FinTech,"Paytm is India's leading digital payments and financial services company, which is focused on driving consumers and merchants to its platform by offering them a variety of payment use cases.",3.2,3.3,3.4,3.4,3.5,3.3,Public,"Noida, Uttar Pradesh",2010,9000
HDFC Bank,https://www.ambitionbox.com/overview/hdfc-bank-overview,3.8,31245,Banking & Finance,"HDFC Bank is India's largest private sector bank, offering a wide range of banking services covering commercial and investment banking on the wholesale side and transactional/branch banking on the retail side.",3.3,3.6,4.0,3.7,3.7,3.6,Public,"Mumbai, Maharashtra",1994,177000
ICICI Bank,https://www.ambitionbox.com/overview/icici-bank-overview,3.7,26782,Banking & Finance,"ICICI Bank is a leading private sector bank in India, offering a wide range of banking products and financial services to corporate and retail customers through a variety of delivery channels.",3.3,3.6,3.9,3.7,3.7,3.6,Public,"Mumbai, Maharashtra",1994,120000
Axis Bank,https://www.ambitionbox.com/overview/axis-bank-overview,3.6,18432,Banking & Finance,"Axis Bank is the third largest private sector bank in India, offering the entire spectrum of financial services to customer segments covering Large and Mid-Corporates, MSME, Agriculture and Retail Businesses.",3.2,3.4,3.8,3.5,3.5,3.4,Public,"Mumbai, Maharashtra",1993,75000
State Bank of India,https://www.ambitionbox.com/overview/state-bank-of-india-overview,3.7,41325,Banking & Finance,State Bank of India (SBI) is an Indian multinational public sector banking and financial services statutory body. It is the largest bank in India with a market share of over 23%.,3.8,3.5,4.3,3.7,3.5,3.7,Government,"Mumbai, Maharashtra",1806,250000
Bajaj Finserv,https://www.ambitionbox.com/overview/bajaj-finserv-overview,3.8,12341,Banking & Finance,"Bajaj Finserv Limited is the holding company for the various financial services businesses under the Bajaj Group. It offers financial services relating to lending, insurance, wealth advisory and retail.",3.4,3.7,3.9,3.8,3.8,3.7,Public,"Pune, Maharashtra",2007,55000
Reliance Industries,https://www.ambitionbox.com/overview/reliance-industries-overview,3.8,18924,"Oil & Gas, Retail, Telecom","Reliance Industries Limited is a Fortune 500 company and the largest private sector corporation in India. Its activities span hydrocarbon exploration and production, petroleum refining and marketing.",3.5,3.7,3.9,3.7,3.7,3.7,Public,"Mumbai, Maharashtra",1966,236334
Jio,https://www.ambitionbox.com/overview/jio-overview,3.7,14325,Telecom,"Jio is a wholly owned subsidiary of Reliance Industries, operating the largest 4G network in India. Jio has become the largest telecom service provider in India.",3.5,3.6,3.8,3.7,3.8,3.6,Private,"Mumbai, Maharashtra",2007,50000
Airtel,https://www.ambitionbox.com/overview/airtel-overview,3.7,16783,Telecom,Bharti Airtel Limited is an Indian global telecommunications services company with operations in 18 countries across South Asia and Africa.,3.5,3.6,3.8,3.7,3.7,3.6,Public,"New Delhi, Delhi",1995,18000
Larsen & Toubro,https://www.ambitionbox.com/overview/larsen-and-toubro-overview,3.9,21432,Construction & Engineering,"Larsen & Toubro is an Indian multinational engaged in EPC Projects, Hi-Tech Manufacturing and Services. It operates in over 50 countries worldwide.",3.4,3.7,4.1,3.8,3.9,3.8,Public,"Mumbai, Maharashtra",1938,65000
Tata Motors,https://www.ambitionbox.com/overview/tata-motors-overview,3.8,12341,Automobile,"Tata Motors is a global automobile manufacturer – of cars, utility vehicles, pick-ups, trucks, and buses. It is the 4th largest truck manufacturer and 2nd largest bus manufacturer in the world.",3.6,3.7,4.0,3.8,3.8,3.7,Public,"Mumbai, Maharashtra",1945,75000
Mahindra & Mahindra,https://www.ambitionbox.com/overview/mahindra-and-mahindra-overview,3.9,13456,Automobile,Mahindra & Mahindra is a multinational conglomerate headquartered in Mumbai. The company is one of the largest vehicle manufacturers by production in India and the largest manufacturer of tractors across the world.,3.7,3.7,4.0,3.9,3.9,3.8,Public,"Mumbai, Maharashtra",1945,40000
Hero MotoCorp,https://www.ambitionbox.com/overview/hero-motocorp-overview,3.7,8923,Automobile,"Hero MotoCorp Ltd. is the world's largest manufacturer of two-wheelers, based in India. It sold over 6 million two-wheelers in a single year.",3.5,3.6,3.9,3.7,3.7,3.6,Public,"New Delhi, Delhi",1984,10000
Maruti Suzuki,https://www.ambitionbox.com/overview/maruti-suzuki-overview,3.9,11234,Automobile,Maruti Suzuki India Limited is a publicly listed automaker in India. It is a subsidiary of Japanese automobile and motorcycle manufacturer Suzuki Motor Corporation.,3.7,3.7,4.1,3.9,3.9,3.8,Public,"Gurugram, Haryana",1981,40000
Byju's,https://www.ambitionbox.com/overview/byjus-overview,3.1,12341,EdTech,"Byju's is an Indian multinational educational technology company, headquartered in Bengaluru. It was founded in 2011 by Byju Raveendran and Divya Gokulnath.",2.8,2.9,2.9,3.0,3.3,2.9,Startup,"Bengaluru, Karnataka",2011,50000
Unacademy,https://www.ambitionbox.com/overview/unacademy-overview,3.4,4231,EdTech,Unacademy is an Indian educational technology company based in Bengaluru. The platform provides learning courses for competitive examinations.,3.1,3.2,3.3,3.4,3.6,3.3,Startup,"Bengaluru, Karnataka",2015,5000
Ola,https://www.ambitionbox.com/overview/ola-overview,3.4,8234,Internet,"Ola is India's most popular ride-hailing platform. It allows users to hire cabs, auto-rickshaws, and other vehicles through its app.",3.1,3.3,3.3,3.4,3.5,3.3,Startup,"Bengaluru, Karnataka",2010,10000
CRED,https://www.ambitionbox.com/overview/cred-overview,4.0,3421,FinTech,CRED is a members-only credit card bill payment platform that rewards its members for clearing their credit card bills on time.,4.1,4.0,3.9,4.1,4.1,4.0,Startup,"Bengaluru, Karnataka",2018,1000
Razorpay,https://www.ambitionbox.com/overview/razorpay-overview,4.1,2341,FinTech,"Razorpay is a payment solutions company headquartered in Bengaluru, India. It allows businesses to accept, process and disburse payments with its product suite.",4.0,4.0,4.1,4.1,4.2,4.0,Startup,"Bengaluru, Karnataka",2014,3000
PhonePe,https://www.ambitionbox.com/overview/phonepe-overview,3.9,4123,FinTech,PhonePe is an Indian digital payments and financial services company headquartered in Bengaluru. PhonePe was founded in December 2015 and is owned by Flipkart.,3.8,3.8,3.9,4.0,4.0,3.9,Startup,"Bengaluru, Karnataka",2015,5000
Nykaa,https://www.ambitionbox.com/overview/nykaa-overview,3.7,4521,"Internet, Retail","Nykaa is an Indian e-commerce company, founded by Falguni Nayar in 2012. It sells beauty, wellness, and fashion products through its website and mobile apps.",3.4,3.5,3.7,3.7,3.8,3.6,Public,"Mumbai, Maharashtra",2012,4000
Meesho,https://www.ambitionbox.com/overview/meesho-overview,3.8,3214,Internet,Meesho is an Indian social commerce platform which allows individuals and small businesses to start their online stores via social channels.,3.7,3.6,3.7,3.9,3.9,3.7,Startup,"Bengaluru, Karnataka",2015,3000
Zepto,https://www.ambitionbox.com/overview/zepto-overview,3.6,1234,Internet,Zepto is an Indian quick-commerce company founded in 2021. It delivers groceries in 10 minutes via its network of dark stores across Indian cities.,3.2,3.5,3.5,3.6,3.7,3.5,Startup,"Mumbai, Maharashtra",2021,3000
Dream11,https://www.ambitionbox.com/overview/dream11-overview,4.0,2341,Internet,"Dream11 is India's biggest sports tech platform, with over 200 million users. It offers fantasy sports for cricket, football, basketball, kabaddi and more.",4.0,4.0,3.9,4.1,4.1,4.0,Startup,"Mumbai, Maharashtra",2008,1500
ShareChat,https://www.ambitionbox.com/overview/sharechat-overview,3.7,1823,Internet,ShareChat is an Indian social media platform available in 15 Indian languages. It was founded in 2015 and is headquartered in Bengaluru.,3.6,3.6,3.6,3.7,3.8,3.6,Startup,"Bengaluru, Karnataka",2015,2000
InMobi,https://www.ambitionbox.com/overview/inmobi-overview,4.0,2134,Internet,"InMobi is a global provider of enterprise platforms for marketers. Through its products and solutions, it helps businesses and consumers have meaningful engagements.",4.0,3.9,4.0,4.0,4.1,3.9,Startup,"Bengaluru, Karnataka",2007,3000
Freshworks,https://www.ambitionbox.com/overview/freshworks-overview,4.1,3421,Software Product,Freshworks makes it fast and easy for businesses to delight their customers and employees. The company provides cloud-based software for customer engagement.,4.1,4.0,4.1,4.2,4.2,4.1,Public,"Chennai, Tamil Nadu",2010,6800
Zoho,https://www.ambitionbox.com/overview/zoho-overview,4.0,6234,Software Product,Zoho Corporation is an Indian multinational technology company that makes web-based business tools. The company is known for the Zoho Office Suite.,3.9,3.7,4.1,4.0,4.1,4.0,Private,"Chennai, Tamil Nadu",1996,15000
Infosys BPM,https://www.ambitionbox.com/overview/infosys-bpm-overview,3.7,14321,BPO,Infosys BPM is the business process management subsidiary of Infosys. It focuses on integrated end-to-end outsourcing and delivers transformation through its full-lifecycle services.,3.5,3.4,3.8,3.7,3.7,3.6,Private,"Bengaluru, Karnataka",2002,60000
Genpact,https://www.ambitionbox.com/overview/genpact-overview,3.7,18234,BPO,Genpact is a global professional services firm focused on delivering outcomes that transform its clients' businesses and shape the future.,3.5,3.5,3.8,3.7,3.7,3.6,Public,"Gurugram, Haryana",1997,125000
